facility_id,overture_id,facility_name,name_review_flag,county,city,county_source,centroid_lon,centroid_lat,area_ft2,label,subclass,confidence_score,confidence_tier,is_warehouse,warehouse_prob,source,scag_land_use_class,APN,costar_match_confidence,intensity_tier,is_high_cube,is_likely_crossdock,ops_start_year,year_source,year_confidence,lodes_onset_year,year_built,temporal_use,suspect_stale_year
SCAG-WH-00748,00eaa362-16d0-4058-9042-7526e53af9b3,,False,LA,Downey,original,-118.120436,33.930047,158365,confirmed,FI-IND,35.0,Medium,0,0.449,overture,industrial,6284019015,medium,Low,0.0,0.0,1951,costar,high,2020,1951,usable,False
SCAG-WH-00749,,,False,LA,Industry,original,-117.822955,34.030361,157938,confirmed,FI-IND,55.0,High,1,0.73,osm,warehouse,8719004012,medium,High,0.0,0.0,1999,costar,high,2022,1999,usable,True
SCAG-WH-00750,682ea41d-565e-4aac-a9a9-17b8a836b137,,False,LA,Vernon,original,-118.237077,33.99351,157831,confirmed,FI-IND,35.0,Medium,0,0.39,overture,industrial,6308016027,none,,,,2020,lodes,medium,2020,,lodes8_artifact,False
SCAG-WH-00751,7aac9ee1-d024-4a89-b3ef-eeaed99276d7,,False,LA,Carson,original,-118.240073,33.861649,157812,confirmed,FI-IND,55.0,Medium,0,0.385,overture,warehouse,7319039086,none,,,,2003,lodes,medium,2003,,lodes7_truncation,False
SCAG-WH-00752,59f46c86-c856-45cf-91cb-2fed7e2f2d1a,,False,LA,Industry,original,-117.91782,34.009309,157661,confirmed,ambiguous,35.0,Medium,0,0.381,overture,industrial,8729001016,weak,,,,,unknown,low,,,no_onset,False
SCAG-WH-00753,3bad5122-aa69-445d-adbf-93c104cae60b,,False,LA,Los Angeles,original,-118.277072,34.14975,157660,confirmed,FI-IND,55.0,Medium,0,0.383,overture,warehouse,5593008007,none,,,,2003,lodes,medium,2003,,lodes7_truncation,False
SCAG-WH-00754,cba40430-c650-4550-bf85-582be5d57460,,False,LA,Los Angeles,original,-118.29619,33.855926,157582,candidate,candidate (unsubtyped),30.0,Medium,0,0.41,overture,industrial,7351031007,none,,,,2020,lodes,medium,2020,,lodes8_artifact,False
SCAG-WH-00755,61f9dde9-4878-48f5-a93e-681e30954b71,,False,LA,Compton,original,-118.221742,33.871229,157207,confirmed,FI-IND,65.0,High,1,0.653,overture,warehouse,7318024008,medium,Medium,0.0,1.0,1960,costar,high,2020,1960,usable,False
SCAG-WH-00756,e8c7fc84-7b34-4930-a6da-0af212e267f6,,False,LA,Azusa,original,-117.926064,34.141824,156823,confirmed,U-DF,25.0,Medium,1,0.508,overture,industrial,8617001029,none,,,,2007,lodes,medium,2007,,usable,False
SCAG-WH-00757,d1b49458-f4be-4da2-bbd8-989d85d68a96,,False,LA,Los Angeles,original,-118.292886,33.847862,156517,confirmed,U-DF,60.0,Medium,0,0.395,overture,warehouse,7351034066,none,,,,2020,lodes,medium,2020,,lodes8_artifact,False
SCAG-WH-00758,,,False,LA,Cerritos,original,-118.043886,33.886698,156297,confirmed,FI-IND,65.0,Medium,0,0.409,osm,warehouse,7005013067,none,Medium,0.0,0.0,1974,costar,high,2003,1974,usable,False
